iter	Passed	Remaining
0	148	148164
1	148	74337
2	149	49760
3	150	37441
4	150	30043
5	151	25108
6	152	21583
7	152	18940
8	153	16881
9	153	15230
10	154	13880
11	154	12753
12	155	11800
13	155	10983
14	156	10275
15	156	9654
16	157	9106
17	158	8620
18	158	8184
19	159	7792
20	159	7440
21	160	7127
22	161	6845
23	161	6577
24	162	6331
25	162	6102
26	163	5892
27	164	5696
28	164	5513
29	165	5341
30	165	5182
31	166	5033
32	167	4893
33	167	4759
34	168	4633
35	168	4516
36	169	4404
37	169	4300
38	170	4200
39	171	4105
40	171	4014
41	172	3927
42	172	3844
43	173	3778
44	174	3707
45	175	3649
46	176	3580
47	177	3514
48	177	3451
49	178	3398
50	179	3341
51	180	3284
52	180	3230
53	181	3177
54	181	3125
55	182	3075
56	182	3027
57	183	2981
58	184	2936
59	184	2892
60	185	2850
61	185	2810
62	186	2771
63	186	2733
64	187	2697
65	188	2662
66	188	2628
67	189	2597
68	190	2572
69	191	2540
70	191	2509
71	192	2479
72	192	2450
73	194	2427
74	194	2400
75	195	2373
76	195	2347
77	196	2321
78	197	2297
79	197	2272
80	198	2247
81	198	2224
82	198	2198
83	199	2175
84	200	2153
85	200	2131
86	201	2110
87	201	2090
88	202	2069
89	202	2049
90	203	2029
91	203	2010
92	204	1995
93	205	1978
94	206	1962
95	206	1945
96	207	1928
97	207	1912
98	208	1895
99	208	1879
100	209	1864
101	210	1848
102	210	1833
103	211	1818
104	211	1804
105	212	1789
106	212	1775
107	213	1761
108	213	1747
109	214	1734
110	214	1721
111	215	1708
112	215	1695
113	216	1682
114	217	1670
115	217	1659
116	218	1651
117	219	1641
118	220	1629
119	220	1618
120	221	1607
121	222	1597
122	222	1587
123	223	1577
124	223	1566
125	224	1556
126	224	1545
127	225	1535
128	226	1525
129	226	1515
130	227	1506
131	227	1496
132	228	1487
133	228	1478
134	229	1469
135	229	1459
136	230	1450
137	230	1441
138	231	1433
139	231	1424
140	233	1421
141	233	1413
142	234	1405
143	235	1397
144	235	1390
145	236	1383
146	237	1376
147	237	1369
148	238	1361
149	239	1354
150	239	1347
151	240	1340
152	240	1332
153	241	1325
154	241	1318
155	242	1311
156	242	1304
157	243	1297
158	244	1290
159	244	1283
160	244	1276
161	245	1269
162	245	1262
163	246	1255
164	247	1253
165	248	1247
